ingredient_id,ingredient,ingredient_map,alcohol_type
1,blended scotch whisky,scotch,scotch
2,orange bitters ,orange bitters,NULL
3,london dry gin,dry gin,gin
4,orange curaçao,orange curaçao,liqueur
5,cachaça (such as leblon),cachaça,liqueur
6,vanilla simple syrup,vanilla simple syrup,NULL
7,kübler absinthe (switzerland),absinthe,absinthe
8,kubler absinthe,absinthe,absinthe
9,absinthe,absinthe,absinthe
10,"absinthe, to rinse",absinthe,absinthe
11,absinthe bitters,absinthe bitters,NULL
12,st. george absinthe verte,absinthe verte,absinthe
13,cedilla açaí liqueur,açaí liqueur,liqueur
14,agave nectar syrup (1 part agave nectar and 1 part water),agave,NULL
15,agave syrup,agave,NULL
16,agave nectar,agave,NULL
17,albariño wine (such as terras gauda abadia de san campio),albariño wine,white wine
18,bell’s two hearted ale,ale,NULL
19,allspice dram,allspice dram,NULL
20,allspice liqueur,allspice liqueur,liqueur
21,almond milk,almond milk,NULL
22,alpe génépy,alpe génépy,NULL
23,alvear pale cream sherry,alvear pale cream sherry,NULL
24,amaretto,amaretto,liqueur
25,amaretto liqueur,amaretto,liqueur
26,cardamaro vino amaro,amaro,liqueur
27,averna amaro,amaro,liqueur
28,amaro,amaro,liqueur
29,amaro ciociaro,amaro,liqueur
30,amaro di angostura,amaro,liqueur
31,amaro montenegro,amaro,liqueur
32,amaro nonino quintessentia,amaro,liqueur
33,bordiga bitter rosso amaro,amaro,liqueur
34,lo-fi gentian amaro,amaro,liqueur
35,luxardo amaro abano,amaro,liqueur
36,nonino amaro,amaro,liqueur
37,averna,amaro,liqueur
38,amer picon,amer picon,NULL
39,amontillado sherry,amontillado sherry,liqueur
40,ancho-chile-infused bourbon*,ancho-chile-infused bourbon,bourbon
41,ancho reyes ancho chile liqueur,ancho chile liqueur,NULL
42,angostura bitters,angostura bitters,NULL
43,dashes angostura,angostura bitters,NULL
44,"angostura bitters, divided",angostura bitters,NULL
45,angostura orange bitters,angostura orange bitters,NULL
46,anise pod,anise,NULL
47,anisette,anisette,liqueur
48,antica killer rio*,antica killer rio,NULL
49,aperol,aperol,liqueur
50,rosemary-infused aperol (750 ml)*,aperol,liqueur
51,apple slices,apple,NULL
52,granny smith apple,apple,NULL
53,granny smith apples,apple,NULL
54,apple fan,apple,NULL
55,apple slice,apple,NULL
56,apple slice fan,apple,NULL
57,apple,apple,NULL
58,2 apple slices,apple,NULL
59,garnish: apple blossom flower,apple blossom flower,NULL
60,laird’s bottled-in-bond apple brandy,apple brandy,brandy
61,laird’s bottled-in-bond straight apple brandy,apple brandy,brandy
62,laird’s straight bottled in bond apple brandy,apple brandy,brandy
63,st. george apple brandy,apple brandy,brandy
64,laird’s apple brandy,apple brandy,brandy
65,apple brandy,apple brandy,brandy
66,calvados or other apple brandy,apple brandy,brandy
67,clear creek eight-year-old apple brandy,apple brandy,brandy
68,laird's bonded apple brandy,apple brandy,brandy
69,apple cider,apple cider,NULL
70,fresh apple cider,apple cider,NULL
71,"apple cider, warmed",apple cider,NULL
72,apple cider syrup*,apple cider syrup,NULL
73,apple cider vinegar,apple cider vinegar,NULL
74,apple eau de vie (hawksmoor uses neversink),apple eau de vie,eau de vie
75,applejack,applejack,NULL
76,apple juice,apple juice,NULL
77,fresh apple juice,apple juice,NULL
78,apricot brandy,apricot brandy,NULL
79,apricot liqueur,apricot liqueur,liqueur
80,massenez orchard apricot liqueur,apricot liqueur,liqueur
81,apricot eau-de-vie,apricot eau-de-vie,eau de vie
82,aquavit,aquavit,NULL
83,árbol tincture*,árbol tincture,NULL
84,domaine d'esperance blanche armagnac,armagnac,brandy
85,armagnac,armagnac,brandy
86,odvi armagnac,armagnac,brandy
87,bittered sling kensington aromatic bitters,aromatic bitters,NULL
88,aurora hemp-infused beverage,aurora hemp-infused beverage,NULL
89,avocado,avocado,NULL
90,avocado pit orgeat*,avocado pit orgeat,NULL
91,garnish: baby’s breath (optional),baby’s breath,NULL
92,4 crispy bacon strips,bacon,NULL
93,bacon-infused bushmills irish whiskey*,bacon-infused whiskey,whiskey
94,baileys irish cream,baileys irish cream,liqueur
95,baker's 107-proof bourbon,baker's 107-proof bourbon,bourbon
96,"garnish: banana chunk, with peel",banana,NULL
97,banana,banana,NULL
98,bourbon-flambéed banana slices,banana,NULL
99,banana liqueur,banana liqueur,liqueur
100,banana slice,banana slice,NULL
101,barolo chinato,barolo chinato,NULL
102,barspoon green chartreuse,barspoon green chartreuse,NULL
103,barspoon kumquat marmalade*,barspoon kumquat marmalade,NULL
104,basil leaves,basil,NULL
105,basil leaves (large),basil,NULL
106,basil,basil,NULL
107,basil leaf,basil,NULL
108,batavia-arrack,batavia-arrack,NULL
109,becherovka,becherovka,NULL
110,beer,beer,NULL
111,beet juice,beet juice,NULL
112,"beet puree (cooked and peeled beets, pureed)",beet puree,NULL
113,bell pepper puree*,bell pepper puree,NULL
114,benedictine liqueur,benedictine,liqueur
115,bénédictine liqueur,benedictine,liqueur
116,benedictine,benedictine,liqueur
117,b.g. reynolds don's spices #2,b.g. reynolds don's spices #2,NULL
118,bigallet china-china amer,bigallet china-china amer,liqueur
119,bitters,bitters,NULL
120,bitters,bitters,NULL
121,bitter truth exr liqueur,bitter truth exr liqueur,liqueur
122,2 blackberries,blackberries,NULL
123,blackberries,blackberries,NULL
124,teaspoon blackberry jam,blackberry jam,NULL
125,blackberry liqueur,blackberry liqueur,liqueur
126,blackberry mint syrup,blackberry mint syrup,NULL
127,blackberry sage tea syrup,blackberry sage tea syrup,NULL
128,black cardamom,black cardamom,NULL
129,black cardamom syrup*,black cardamom syrup,NULL
130,black garlic financier,black garlic financier,NULL
131,black pepper,black pepper,NULL
132,black tea (chilled),black tea,NULL
133,fee brothers black walnut bitters,black walnut bitters,NULL
134,blanco tequila (such as partida),blanco tequila,tequila
135,blanco tequila (such as siete leguas),blanco tequila,tequila
136,"blanco tequila, preferably el tesoro blanco",blanco tequila,tequila
137,casamigos blanco tequila,blanco tequila,tequila
138,silver tequila,blanco tequila,tequila
139,tapatio blanco tequila,blanco tequila,tequila
140,blanco tequila,blanco tequila,tequila
141,martini bianco vermouth,blanco vermouth,vermouth
142,dolin blanc vermouth de chambéry,blanc vermouth,vermouth
143,dolin blanc vermouth,blanc vermouth,vermouth
144,blended scotch (such as chivas),blended scotch,scotch
145,blood orange wheel,blood orange,NULL
146,of blood orange peel,blood orange,NULL
147,blood orange twist,blood orange,NULL
148,blood orange juice,blood orange juice,NULL
149,"blood orange juice, freshly squeezed",blood orange juice,NULL
150,solerno blood orange liqueur,blood orange liqueur,liqueur
151,blossom honey,blossom honey,NULL
152,blueberries,blueberries,NULL
153,blue curaçao,blue curaçao,liqueur
154,blue mix*,blue mix,NULL
155,blume apricot eau de vie,blume apricot eau de vie,eau de vie
156,blume marillen apricot eau-de-vie,blume marillen apricot eau-de-vie,eau de vie
157,boiling water,boiling water,NULL
158,boiron passion fruit puree,boiron passion fruit puree,NULL
159,bonal gentiane-quina,bonal gentiane-quina,liqueur
160,basil hayden’s bourbon,bourbon,bourbon
161,bourbon,bourbon,bourbon
162,bourbon (or brandy),bourbon,bourbon
163,"bourbon (or rye whiskey, if preferred)",bourbon,bourbon
164,bourbon (preferably elijah craig small batch),bourbon,bourbon
165,bourbon or rye whiskey,bourbon,bourbon
166,brown-butter-washed bourbon,bourbon,bourbon
167,"hudson bright lights, big bourbon",bourbon,bourbon
168,kentucky straight bourbon,bourbon,bourbon
169,old forester 100-proof bourbon,bourbon,bourbon
170,branca menta,branca menta,liqueur
171,brandied cherry,brandied cherries,NULL
172,brandied cherries,brandied cherries,NULL
173,singani 63 brandy,brandy,brandy
174,lustau brandy de jerez,brandy,brandy
175,brandy,brandy,brandy
176,"brewed black tea, chilled",brewed black tea,NULL
177,brown sugar,brown sugar,NULL
178,brown sugar syrup,brown sugar syrup,NULL
179,butter,butter,NULL
180,butterscotch schnapps,butterscotch schnapps,schnapps
181,butterscotch syrup,butterscotch syrup,NULL
182,butterscotch whipped cream,butterscotch whipped cream,NULL
183,cachaça (such as leblon),cachaça,cachaça
184,chacha,cachaça,cachaça
185,leblon cachaça,cachaça,cachaça
186,leblon reserva especial cachaça,cachaça,cachaça
187,unaged cachaça,cachaça,cachaça
188,avua amburana cachaça,cachaça,cachaça
189,cachaça,cachaça,cachaça
190,calvados or bourbon (optional),calvados,brandy
191,calvados,calvados,brandy
192,adrien camut six-year-old calvados,calvados,brandy
193,campari,campari,liqueur
194,garnish: candied ginger,candied ginger,NULL
195,candied ginger,candied ginger,NULL
196,garnish: candy cap mushroom dust (optional),candy cap mushroom dust,NULL
197,cane syrup,cane syrup,NULL
198,cantaloupe cordial*,cantaloupe cordial,liqueur
199,cappelletti aperitif,cappelletti aperitif,liqueur
200,house-made caramel*,caramel,NULL
201,caramel candy,caramel candy,NULL
202,cardamaro,cardamaro,liqueur
203,cardamom pods,cardamom,NULL
204,1 carrot top,carrot,NULL
205,carrot chip,carrot,NULL
206,fresh carrot-ginger juice*,carrot-ginger juice,NULL
207,"heirloom carrot juice (purple, orange and yellow)",carrot juice,NULL
208,carrot juice,carrot juice,NULL
209,cava,cava,champagne/sparkling wine
210,cayenne pepper,cayenne pepper,NULL
211,cbd oil,cbd oil,NULL
212,celery stalk,celery,NULL
213,celery stick,celery,NULL
214,celery,celery,NULL
215,3 celery leaves,celery,NULL
216,scrappy’s celery bitters,celery bitters,NULL
217,celery bitters,celery bitters,NULL
218,celery bitters (such as bittermens celery shrub),celery bitters,NULL
219,celery juice,celery juice,NULL
220,fresh celery juice,celery juice,NULL
221,celery salt,celery salt,NULL
222,garnish: celery spear,celery spear,NULL
223,celery syrup (recipe below),celery syrup,NULL
224,don ciccio & figli cerasum aperitivo,cerasum aperitivo,liqueur
225,chablis,chablis,white wine
226,chambord,chambord,liqueur
227,chamoe juice (or honeydew juice),chamoe juice (or honeydew juice),NULL
228,chamoe slice (or honeydew slice),chamoe slice (or honeydew slice),NULL
229,chamomile-infused blanc vermouth*,chamomile-infused blanc vermouth,NULL
230,chamomile-infused rye whiskey*,chamomile-infused rye whiskey,NULL
231,chamomile tea,chamomile tea,NULL
232,"chamomile tea, heated",chamomile tea,NULL
233,"champagne, chilled, to top",champagne,champagne/sparkling wine
234,champagne,champagne,champagne/sparkling wine
235,champagne corn cob syrup*,champagne corn cob syrup,NULL
236,chardonnay,chardonnay,white wine
237,chareau liqueur,chareau liqueur,liqueur
238,amarena cherries,cherries,NULL
239,cherries,cherries,NULL
240,cherry (optional),cherries,NULL
241,cherry,cherries,NULL
242,"garnish: 3 brandied cherries, skewered",cherry,NULL
243,candied cherry,cherry,NULL
244,"cherry (or lemon twist, if preferred)",cherry,NULL
245,cherry or a lemon twist,cherry,NULL
246,garnish: brandied cherry,cherry,NULL
247,garnish: maraschino cherry,cherry,NULL
248,"garnish: maraschino cherry (and more, if desired)",cherry,NULL
249,"garnish: maraschino cherry, speared",cherry,NULL
250,green maraschino cherry,cherry,NULL
251,preserved cherry,cherry,NULL
252,cherry (or other) kombucha,cherry kombucha,NULL
253,cherry heering,cherry liqueur,liqueur
254,cherry liqueur,cherry liqueur,liqueur
255,cherry heering liqueur,cherry liqueur,liqueur
256,cherrywood chips,cherrywood chips,NULL
257,chile threads,chile,NULL
258,chile pepper slices,chile,NULL
259,garnish: chile de arbol,chile de arbol,NULL
260,garnish: dried chile de árbol pepper,chile de arbol,NULL
261,chile piquin,chile piquin,NULL
262,chile powder,chile powder,NULL
263,chili salt,chili salt,NULL
264,semisweet chocolate,chocolate,NULL
265,fee brothers aztec chocolate bitters,chocolate bitters,NULL
266,the bitter truth chocolate bitters,chocolate bitters,NULL
267,chocolate bunny,chocolate bitters,NULL
268,chocolate bitters (such as bittermen’s),chocolate bitters,NULL
269,chocolate liqueur,chocolate liqueur,liqueur
270,chocolate shavings,chocolate shavings,NULL
271,chrysanthemum flowers,chrysanthemum flowers,NULL
272,cider,cider,NULL
273,cilantro,cilantro,NULL
274,cilantro sprig,cilantro,NULL
275,cilantro leaf,cilantro,NULL
276,cinnamon,cinnamon,NULL
277,cinnamon powder,cinnamon,NULL
278,cinnamon-demerara syrup,cinnamon-demerara syrup,NULL
279,cinnamon schnapps (such as goldschläger) or peppermint schnapps (such as rumplemintz),cinnamon schnapps,schnapps
280,cinnamon simple syrup,cinnamon simple syrup,NULL
281,stick,cinnamon stick,NULL
282,cinnamon sticks,cinnamon stick,NULL
283,cinnamon stick,cinnamon stick,NULL
284,cinnamon-sugar,cinnamon sugar,NULL
285,cinnamon sugar,cinnamon sugar,NULL
286,rich cinnamon syrup (2:1),cinnamon syrup,NULL
287,cinnamon syrup,cinnamon syrup,NULL
288,cinnamon vanilla syrup*,cinnamon vanilla syrup,NULL
289,citric acid,citric acid,NULL
290,citrus oleo saccharum*,citrus oleo saccharum,NULL
291,citrus slice,citrus slice,NULL
292,citrus syrup*,citrus syrup,NULL
293,clamato juice,clamato juice,NULL
294,clarified gin milk punch*,clarified gin milk punch,NULL
295,clear creek pear eau-de-vie,clear creek pear eau-de-vie,eau de vie
296,clément creole shrubb,clément creole shrubb,NULL
297,"cleto chiarli pruno nero lambrusco, chilled",cleto chiarli pruno nero lambrusco,NULL
298,cloves,cloves,NULL
299,clove simple syrup*,clove simple syrup,NULL
300,"club soda, chilled",club soda,NULL
301,"club soda, chilled, to top",club soda,NULL
302,club soda (optional),club soda,NULL
303,club soda,club soda,NULL
304,coca-cola,coca-cola,NULL
305,cola,coca-cola,NULL
306,coca-cola syrup**,coca-cola syrup,NULL
307,cocalero clásico herbal spirit,cocalero clásico herbal spirit,liqueur
308,cocchi americano,cocchi americano,liqueur
309,cocchi americano aperitif,cocchi americano aperitif,liqueur
310,cocchi americano aperitivo,cocchi americano aperitif,liqueur
311,cocchi barolo chinato,cocchi barolo chinato,liqueur
312,garnish: cocktail onion,cocktail onion,NULL
313,cocktail umbrella,cocktail umbrella,NULL
314,cocoa nib-infused campari*,cocoa nib-infused campari,liqueur
315,cocoa nibs,cocoa nibs,NULL
316,cocoa powder,cocoa powder,NULL
317,coco lopez-matcha green tea powder mix,coco lopez-matcha green tea powder mix,NULL
318,coconut cream*,coconut cream,NULL
319,coconut cream,coconut cream,NULL
320,coconut-infused bourbon*,coconut-infused bourbon,bourbon
321,coconut-lemongrass syrup,coconut-lemongrass syrup,NULL
322,kalani coconut liqueur,coconut liqueur,liqueur
323,rhum clément mahina coco liqueur,coconut liqueur,liqueur
324,coconut milk,coconut milk,NULL
325,coconut rum,coconut rum,rum
326,coconut water,coconut water,NULL
327,"dark-roast coffee, freshly brewed",coffee,NULL
328,coffee (iced or hot),coffee,NULL
329,brewed coffee,coffee,NULL
330,coffee beans,coffee beans,NULL
331,coffee ice cream,coffee ice cream,NULL
332,coffee liqueur,coffee liqueur,liqueur
333,caffè borghetti coffee liqueur,coffee liqueur,liqueur
334,the block coffee liqueur,coffee liqueur,liqueur
335,st. george nola coffee liqueur,coffee liqueur,liqueur
336,cognac,cognac,cognac
337,d’ussé cognac,cognac,cognac
338,rémy martin xo cognac,cognac,cognac
339,cold brew-coffee,cold brew coffee,NULL
340,cold-brew coffee,cold brew coffee,NULL
341,cold brew coffee,cold brew coffee,NULL
342,combier,combier,NULL
343,condensed milk,condensed milk,NULL
344,cotton & reed allspice dram,cotton & reed allspice dram,NULL
345,cran-apple juice,cran-apple juice,NULL
346,cranberry,cranberries,NULL
347,cranberries,cranberries,NULL
348,cranberry juice,cranberry juice,NULL
349,cranberry juice cocktail,cranberry juice cocktail,NULL
350,cream,cream,NULL
351,cream of coconut,cream of coconut,NULL
352,cream of coconut (such as coco lopez),cream of coconut,NULL
353,cream sherry,cream sherry,NULL
354,cream soda,cream soda,NULL
355,creme de banane,creme de banane,liqueur
356,creme de cacao,creme de cacao,liqueur
357,giffard creme de cacao,creme de cacao,liqueur
358,marie brizard white creme de cacao,creme de cacao,liqueur
359,creme de cassis,creme de cassis,liqueur
360,lejay crème de cassis,creme de cassis,liqueur
361,andes creme de menthe,creme de menthe,liqueur
362,creme de menthe,creme de menthe,liqueur
363,giffard creme de pamplemousse rose liqueur,creme de pamplemousse rose liqueur,liqueur
364,creme de peche,creme de peche,liqueur
365,creme de violette,creme de violette,liqueur
366,creme yvette,creme yvette,liqueur
367,croft pink port,croft pink port,port wine
368,crude bitterless marriage hibiscus lavender oak bitters,crude bitterless marriage hibiscus lavender oak bitters,NULL
369,cucumber slices,cucumber,NULL
370,cucumber spear,cucumber,NULL
371,"cucumber wheel, sliced thinly",cucumber,NULL
372,"cucumber, cut into quarter-inch slices",cucumber,NULL
373,garnish: cucumber slice,cucumber,NULL
374,thin cucumber slices,cucumber,NULL
375,"wheels, thickly sliced",cucumber,NULL
376,cucumber slice,cucumber,NULL
377,cucumber,cucumber,NULL
378,cucumber bitters,cucumber bitters,NULL
379,fresh cucumber juice,cucumber juice,NULL
380,cucumber juice,cucumber juice,NULL
381,cucumber vodka,cucumber vodka,vodka
382,pierre ferrand dry curaçao ancienne methode,curaçao,liqueur
383,pierre ferrand dry curaçao,curaçao,liqueur
384,fresh curry leaf,curry leaf,NULL
385,curry leaves,curry leaves,NULL
386,cynar,cynar,NULL
387,cynar amaro,cynar amaro,liqueur
388,cyril zangs ciderman apple cider,cyril zangs ciderman apple cider,NULL
389,dale degroff’s pimento aromatic bitters,dale degroff’s pimento aromatic bitters,NULL
390,dark chocolate,dark chocolate,NULL
391,dark creme de cacao,dark creme de cacao,liqueur
392,dark rum (such as cruzan single barrel estate),dark rum,rum
393,garnish: crumbled dehydrated blueberries,dehydrated blueberries,NULL
394,dehydrated lime wheel,dehydrated lime wheel,NULL
395,garnish: dehydrated orange wheel,dehydrated orange wheel,NULL
396,distilleria gualco camomila,distilleria gualco camomila,liqueur
397,dr. adam elmegirab's the dead rabbit orinoco bitters,dr. adam elmegirab's the dead rabbit orinoco bitters,NULL
398,dragon fruit slice covered with electricdust,dragon fruit slice covered with electricdust,NULL
399,dragon fruit syrup*,dragon fruit syrup,NULL
400,drambuie,drambuie,liqueur
401,dried apple slice,dried apple slice,NULL
402,dried black cherries,dried black cherries,NULL
403,dried burdock root chip,dried burdock root chip,NULL
404,dried organic rosebuds,dried organic rosebuds,NULL
405,dried-rose-infused lillet blanc,dried-rose-infused lillet blanc,liqueur
406,drops,drops,NULL
407,dry curaçao,dry curaçao,liqueur
408,monopolowa dry gin (or other citrus-forward gin),dry gin,gin
409,london dry or old tom gin,dry gin,gin
410,london dry gin,dry gin,gin
411,dolin dry vermouth de chambery,dry vermouth,vermouth
412,dry vermouth,dry vermouth,vermouth
413,dry vermouth (preferably dolin),dry vermouth,vermouth
414,extra dry vermouth,dry vermouth,vermouth
415,noilly prat dry vermouth (france),dry vermouth,vermouth
416,noilly prat extra dry vermouth,dry vermouth,vermouth
417,carpano dry vermouth,dry vermouth,vermouth
418,dolin dry vermouth,dry vermouth,vermouth
419,dubonnet rouge,dubonnet rouge,liqueur
420,earl grey syrup,earl grey syrup,NULL
421,pear williams purkhart eau de vie,eau de vie,eau de vie
422,edible flowers,edible flowers,NULL
423,edible flower,edible flowers,NULL
424,edible glitter,edible glitter,NULL
