ingredient_id,ingredient,ingredient_map,alcohol_type
425,edible gold flakes,edible gold flakes,NULL
426,edible orchid,edible orchid,NULL
427,edible viola flower,edible viola flower,NULL
428,eggs,egg,NULL
429,egg (whole),egg,NULL
430,egg white,egg,NULL
431,organic egg white (about 1 ounce),egg,NULL
432,whole egg,egg,NULL
433,egg,egg,NULL
434,eggnog,eggnog,NULL
435,eggnog base*,eggnog,NULL
436,elderflower liqueur,elderflower liqueur,liqueur
437,"espresso, freshly brewed",espresso,NULL
438,counter culture espresso,espresso,NULL
439,espresso,espresso,NULL
440,espresso (or cold-brew coffee),espresso,NULL
441,falernum,falernum,NULL
442,fat-washed four roses bourbon,fat-washed four roses bourbon,bourbon
443,fennel bitters,fennel bitters,NULL
444,fennel frond,fennel frond,NULL
445,fennel-infused cocchi americano*,fennel-infused cocchi americano,liqueur
446,fernet-branca liqueur,fernet-branca liqueur,liqueur
447,fernet-branca,fernet-branca liqueur,liqueur
448,fresh figs,figs,NULL
449,fino sherry,fino sherry,sherry
450,flamed blood orange twist,flamed blood orange twist,NULL
451,flamed orange peel,flamed orange peel,NULL
452,flamed rosemary sprig,flamed rosemary sprig,NULL
453,food coloring,food coloring,NULL
454,fortaleza still-strength blanco tequila,fortaleza still-strength blanco tequila,tequila
455,fusion verjus blanc,fusion verjus blanc,liqueur
456,gage & tollner house bitters (an equal-parts mix of angostura and the bitter truth bogart’s bitters),gage & tollner house bitters (an equal-parts mix of angostura and the bitter truth bogart’s bitters),NULL
457,galliano l’autentico liqueur,galliano l’autentico liqueur,liqueur
458,galliano,galliano l’autentico liqueur,liqueur
459,genever,genever,genever
460,bols genever,genever,genever
461,giffard banane du brésil liqueur,giffard banane du brésil,liqueur
462,giffard banane du brésil,giffard banane du brésil,liqueur
463,gilka kümmel,gilka kümmel,liqueur
464,plymouth gin,gin,gin
465,aviation gin,gin,gin
466,barr hill gin,gin,gin
467,barr hill tom cat gin,gin,gin
468,beefeater gin,gin,gin
469,bluecoat gin,gin,gin
470,dry gin,gin,gin
471,gin (plymouth or london dry),gin,gin
472,gin (such as hendrick’s),gin,gin
473,gin (such as roku),gin,gin
474,gin blend,gin,gin
475,gin or vodka,gin,gin
476,hendrick’s gin,gin,gin
477,ki no bi gin (or other herbaceous dry gin),gin,gin
478,plymouth sloe gin,gin,gin
479,ransom old tom gin,gin,gin
480,scapegrace black gin,gin,gin
481,sloe gin,gin,gin
482,sloe gin,gin,gin
483,tanqueray gin,gin,gin
484,tanqueray london dry gin,gin,gin
485,tanqueray no. 10 gin,gin,gin
486,gin,gin,gin
487,fresh ginger,ginger,NULL
488,sliced ginger,ginger,NULL
489,ginger ale,ginger ale,NULL
490,"ginger ale, chilled",ginger ale,NULL
491,monkey 47 gin,ginger beer,NULL
492,opihr gin,ginger beer,NULL
493,ginger beer,ginger beer,NULL
494,fentimans ginger beer,ginger beer,NULL
495,ginger beer (to top),ginger beer,NULL
496,llanllyr source fiery ginger beer,ginger beer,NULL
497,ginger–brown-sugar syrup,ginger–brown-sugar syrup,NULL
498,ginger-habanero syrup*,ginger-habanero syrup,NULL
499,ginger honey syrup*,ginger honey syrup,NULL
500,ginger juice,ginger juice,NULL
501,ginger liqueur (such as domaine de canton),ginger liqueur,liqueur
502,ginger liqueur,ginger liqueur,liqueur
503,ginger shrub,ginger shrub,NULL
504,ginger peel,ginger slice,NULL
505,ginger slice,ginger slice,NULL
506,rich ginger syrup (3 parts sugar to 4 parts ginger juice),ginger syrup,NULL
507,ginger syrup*,ginger syrup,NULL
508,ginger syrup,ginger syrup,NULL
509,ginger syrup**,ginger syrup,NULL
510,"clear spirit of choice (such as aquavit, gin, tequila, vodka or white rum)","gin, tequila, vodka, or white rum",gin|tequila|vodka|rum
511,golden delicious soda*,golden delicious soda,NULL
512,gold luster dust,gold luster dust,NULL
513,grand marnier,grand marnier,liqueur
514,grapefruit quarter-wheel,grapefruit,NULL
515,grapefruit slice,grapefruit,NULL
516,grapefruit twist,grapefruit,NULL
517,grapefruit wheel,grapefruit,NULL
518,"grapefruit, pitted and peeled",grapefruit,NULL
519,grapefruit peel,grapefruit,NULL
520,grapefruit half-wheel,grapefruit,NULL
521,"garnish: grapefruit twist, cut wide",grapefruit,NULL
522,garnish: grapefruit twist,grapefruit,NULL
523,16 grapefruit wheels,grapefruit,NULL
524,grapefruit bitters,grapefruit bitters,NULL
525,"white grapefruit juice, freshly squeezed",grapefruit juice,NULL
526,grapefruit juice,grapefruit juice,NULL
527,"grapefruit juice, freshly squeezed",grapefruit juice,NULL
528,"pink grapefruit juice, freshly squeezed",grapefruit juice,NULL
529,ruby red grapefruit juice,grapefruit juice,NULL
530,grapefruit soda,grapefruit soda,NULL
531,"grapefruit soda, chilled, to top",grapefruit soda,NULL
532,london essence pink pomelo tonic water (or other grapefruit tonic water),grapefruit tonic water,NULL
533,grasshopper salt*,grasshopper salt,NULL
534,grated cinnamon,grated cinnamon,NULL
535,grated dark chocolate,grated dark chocolate,NULL
536,grated nutmeg,grated nutmeg,NULL
537,greenbar apple bitters,greenbar apple bitters,NULL
538,green chartreuse,green chartreuse,liqueur
539,green creme de menthe,green creme de menthe,liqueur
540,spiced stone's original green ginger wine*,green ginger wine,NULL
541,green olive,green olive,NULL
542,green olive cocktail brine,green olive brine,NULL
543,green olives,green olives,NULL
544,green tea,green tea,NULL
545,brewed green tea,green tea,NULL
546,green tea syrup,green tea syrup,NULL
547,grenadine,grenadine,NULL
548,ground allspice,ground allspice,NULL
549,ground black pepper,ground black pepper,NULL
550,ground cayenne,ground cayenne,NULL
551,ground cinnamon,ground cinnamon,NULL
552,ground cloves,ground cloves,NULL
553,ground cumin,ground cumin,NULL
554,ground ginger,ground ginger,NULL
555,ground nutmeg,ground nutmeg,NULL
556,guava fruit leather,guava fruit leather,NULL
557,guava juice,guava juice,NULL
558,guava syrup,guava syrup,NULL
559,guinness draught,guinness,beer
560,guinness beer,guinness,beer
561,half-and-half (or one ounce heavy cream and one ounce whole milk),half-and-half,NULL
562,half-and-half,half-and-half,NULL
563,1 ounce heavy cream,heavy cream,NULL
564,heavy cream,heavy cream,NULL
565,heering cherry liqueur,heering cherry liqueur,liqueur
566,heirloom alchermes,heirloom alchermes,liqueur
567,hibiscus tea syrup,hibiscus tea syrup,NULL
568,hoja santa and tarragon tea,hoja santa and tarragon tea,NULL
569,honey,honey,NULL
570,calamansi honey,honey,NULL
571,"garnish: pickled honeydew melon ball**, skewered",honeydew melon,NULL
572,honeydew pickling liquid**,honeydew pickling liquid,NULL
573,honey-ginger syrup,honey-ginger syrup,NULL
574,bärenjäger honey liqueur,honey liqueur,liqueur
575,honey-pineapple syrup*,honey-pineapple syrup,NULL
576,honey sage syrup,honey sage syrup,NULL
577,honey syrup,honey syrup,NULL
578,honey syrup (equal parts honey and water),honey syrup,NULL
579,horseradish,horseradish,NULL
580,hot buttered rum batter,hot buttered rum batter,NULL
581,hot sauce,hot sauce,NULL
582,tabasco,hot sauce,NULL
583,tabasco sauce,hot sauce,NULL
584,tapatio hot sauce,hot sauce,NULL
585,ice,ice,NULL
586,iced tea,iced tea,NULL
587,"deschutes fresh squeezed ipa, chilled",ipa,NULL
588,irish cream liqueur,irish cream,liqueur
589,irish cream,irish cream,liqueur
590,italicus aperitivo,italicus aperitivo,liqueur
591,mint-tea-infused jägermeister*,jägermeister,liqueur
592,jägermeister,jägermeister,liqueur
593,jalapeño pepper (adjust amount to taste),jalapeno,NULL
594,jalapeño round,jalapeno,NULL
595,jalape,jalapeno,NULL
596,jalapeno,jalapeno,NULL
597,jalapeño,jalapeno,NULL
598,jalapeno coins,jalapeno,NULL
599,jalapeno pepper,jalapeno,NULL
600,jalapeño pepper,jalapeno,NULL
601,jalapeño-infused tequila*   ,jalapeño-infused tequila,tequila
602,suntory toki whisky,japanese whiskey,whiskey
603,kikori japanese whisky,japanese whiskey,whiskey
604,jasmine blossom (optional),jasmine blossom,NULL
605,"garnish: jicama slice, chilled and seasoned with sal de gusano",jicama,NULL
606,juice,juice,NULL
607,juniper berries,juniper berries,NULL
608,juniper syrup,juniper syrup,NULL
609,kahlúa,kahlúa,NULL
610,kiwi slice,kiwi,NULL
611,kiwi syrup**,kiwi syrup,NULL
612,kook soon dang makgeolli,kook soon dang makgeolli,liqueur
613,"kumquats, cut in half lengthwise",kumquats,NULL
614,la boíte borneo n. 26 spice mix,la boíte borneo n. 26 spice mix,NULL
615,lacto-fermented green tomato brine**,lacto-fermented green tomato brine,NULL
616,lacto-fermented melon brine*,lacto-fermented melon brine,NULL
617,lager,lager,beer
618,"lager beer, chilled, to top",lager,beer
619,budweiser,lager,beer
620,lager beer,lager,beer
621,la gitana manzanilla sherry,la gitana manzanilla sherry,sherry
622,la ina fino sherry,la ina fino sherry,sherry
623,lavender sprig,lavender,NULL
624,lavender,lavender,NULL
625,lavender bitters,lavender bitters,NULL
626,scrappy’s lavender bitters,lavender bitters,NULL
627,lazzaroni amaro,lazzaroni amaro,liqueur
628,leaves,leaves,NULL
629,olive or lemon twist,lemon,NULL
630,12 lemon half-wheels studded with cloves,lemon,NULL
631,charred lemon wheel,lemon,NULL
632,garnish: lemon peel,lemon,NULL
633,garnish: lemon twist,lemon,NULL
634,garnish: lemon wheel,lemon,NULL
635,lemon,lemon,NULL
636,lemon peel,lemon,NULL
637,lemon peel or wheel,lemon,NULL
638,lemon slice,lemon,NULL
639,lemon slices,lemon,NULL
640,lemon twist,lemon,NULL
641,lemon twist or olive,lemon,NULL
642,lemon twists,lemon,NULL
643,lemon wedge,lemon,NULL
644,lemon wedges,lemon,NULL
645,lemon wheel,lemon,NULL
646,lemon zest,lemon,NULL
647,lemons,lemon,NULL
648,lemonade,lemonade,NULL
649,lemon bitters,lemon bitters,NULL
650,the bitter truth lemon bitters,lemon bitters,NULL
651,lemongrass,lemongrass,NULL
652,lemongrass-infused simple syrup (recipe below),lemongrass-infused syrup,NULL
653,lemongrass syrup,lemongrass syrup,NULL
654,"lemon juice,",lemon juice,NULL
655,"lemon juice, freshly squeezed",lemon juice,NULL
656,"lemon, lime or grapefruit juice, freshly squeezed",lemon juice,NULL
657,"yuzu or lemon juice, freshly squeezed",lemon juice,NULL
658,fresh lemon juice,lemon juice,NULL
659,lemon juice,lemon juice,NULL
660,7up,lemon-lime soda,NULL
661,lemon-lime soda,lemon-lime soda,NULL
662,"lemon-lime soda (such as 7up or sprite), chilled, to top",lemon-lime soda,NULL
663,"lemon-lime soda (such as 7up or sprite), to top",lemon-lime soda,NULL
664,lemon peel oil,lemon peel oil,NULL
665,lemon soda,lemon soda,NULL
666,lemon wheel studded with cloves,lemon wheel studded with cloves,NULL
667,licor 43,licor 43,liqueur
668,lillet blanc,lillet blanc,liqueur
669,lillet blanc aperitif,lillet blanc,liqueur
670,lillet rouge aperitif,lillet rouge aperitif,liqueur
671,garnish: lime wheel,lime,NULL
672,garnish: lime twist,lime,NULL
673,garnish: lime wedge,lime,NULL
674,lime,lime,NULL
675,lime half-wheel,lime,NULL
676,lime husk,lime,NULL
677,lime peel,lime,NULL
678,lime shell,lime,NULL
679,lime slice,lime,NULL
680,lime twist,lime,NULL
681,lime wedge,lime,NULL
682,lime wheel,lime,NULL
683,lime wheels,lime,NULL
684,lime wheels or other seasonal garnishes you may prefer,lime,NULL
685,pieces (about the shape of small lime quarter),lime,NULL
686,wedges,lime,NULL
687,scrappy’s lime bitters,lime bitters,NULL
688,"lime juice, freshly squeezed",lime juice,NULL
689,fresh lime juice,lime juice,NULL
690,"lime juice, freshly squeezed (save the husks to use as the garnish)",lime juice,NULL
691,lime juice,lime juice,NULL
692,"lime juice,",lime juice,NULL
693,linie aquavit,linie aquavit,grain alcohol
694,liqueur (such as giffard),liqueur,liqueur
695,liqueur,liqueur,liqueur
696,liquore strega,liquore strega,liqueur
697,lotus root wheel (optional),lotus root wheel,NULL
698,soho lychee liqueur,lychee liqueur,liqueur
699,"lychee nuts, shelled (drained if canned)",lychee nuts,NULL
700,macvin du jura liqueur wine,macvin du jura liqueur wine,liqueur
701,madeira wine,madeira wine,liqueur
702,makrut lime leaf,makrut lime leaf,NULL
703,malic acid edv*,malic acid edv,NULL
704,mango-infused rum,mango-infused rum,rum
705,gina mango nectar,mango nectar,NULL
706,mango-pandan syrup*,mango-pandan syrup,NULL
707,maple beet shrub,maple beet shrub,NULL
708,maple leaf candy,maple leaf candy,NULL
709,maple syrup,maple syrup,NULL
710,grade b maple syrup,maple syrup,NULL
711,deep mountain grade b maple syrup,maple syrup,NULL
712,cabin fever maple flavored whiskey,maple whiskey,whiskey
713,luxardo maraschino,maraschino cherries,NULL
714,luxardo maraschino cherry,maraschino cherries,NULL
715,maraschino cherry,maraschino cherries,NULL
716,maraschino cherries,maraschino cherries,NULL
717,luxardo marasca cherries,maraschino cherries,NULL
718,luxardo maraschino cherries,maraschino cherries,NULL
719,luxardo maraschino liqueur,maraschino liqueur,liqueur
720,maraschino liqueur,maraschino liqueur,liqueur
721,maraschino liqueur (preferably luxardo),maraschino liqueur,liqueur
722,"marigold tea, brewed and chilled",marigold tea,NULL
723,4 leaves fresh marjoram,marjoram,NULL
724,"marmalade (blackberry, black cherry or orange)",marmalade,NULL
725,marmalade,marmalade,NULL
726,mini marshmallows,marshmellows,NULL
727,matcha,matcha,NULL
728,matcha powder,matcha,NULL
729,medjool date,medjool date,NULL
730,melon ball,melon,NULL
731,merlot wine,merlot wine,red wine
732,meyer lemon twist,meyer lemon twist,NULL
733,montelobos espadín mezcal,mezcal,mezcal
734,mezcal (preferably del maguey vida),mezcal,mezcal
735,mezcal espadín,mezcal,mezcal
736,del maguey vida mezcal,mezcal,mezcal
737,el silencio mezcal,mezcal,mezcal
738,espadín mezcal,mezcal,mezcal
739,ilegal joven mezcal,mezcal,mezcal
740,ilegal mezcal joven,mezcal,mezcal
741,ilegal reposado mezcal,mezcal,mezcal
742,joven mezcal,mezcal,mezcal
743,madre mezcal,mezcal,mezcal
744,mezcal,mezcal,mezcal
745,mezcal (preferably del maguey chichicapa),mezcal,mezcal
746,mezcal (preferably del maguey san luis del rio),mezcal,mezcal
747,midori,midori,liqueur
748,milk,milk,NULL
749,mint leaves,mint,NULL
750,garnish: mint sprig,mint,NULL
751,garnish: mint sprig skewed through a cucumber slice,mint,NULL
752,garnish: mint sprigs,mint,NULL
753,large mint leaves,mint,NULL
754,mini,mint,NULL
755,mint,mint,NULL
756,mint leaf,mint,NULL
757,mint or microgreen leaf,mint,NULL
758,mint sprig,mint,NULL
759,mint sprigs,mint,NULL
760,mint jelly,mint jelly,NULL
761,12 mint leaves,mint leaves,NULL
762,monin mint syrup,mint simple syrup,NULL
763,mixed berries,mixed berries,NULL
764,bittermens xocolatl mole bitters,mole bitters,NULL
765,kings county moonshine (white corn whiskey),moonshine,grain alcohol
766,mozzarella foam**,mozzarella foam,NULL
767,nocino ,nocino,NULL
768,nutmeg,nutmeg,NULL
769,"garnish: nutmeg, freshly grated",nutmeg,NULL
770,"nutmeg, freshly grated",nutmeg,NULL
771,freshly grated nutmeg,nutmeg,NULL
772,fee brothers old fashioned bitters,old fashioned bitters,NULL
773,old fashioned bitters,old fashioned bitters,NULL
774,olive,olive,NULL
775,olives,olive,NULL
776,olive brine,olive brine,NULL
777,"osmanthus oolong tea, hot-brewed**",oolong tea,NULL
778,orange wedge,orange,NULL
779,orange wheels,orange,NULL
780,swath of orange peel,orange,NULL
781,garnish: orange peel,orange,NULL
782,garnish: orange twist,orange,NULL
783,garnish: torched dehydrated orange wheel,orange,NULL
784,orange wheel,orange,NULL
785,orange,orange,NULL
786,orange half-wheel,orange,NULL
787,orange peel,orange,NULL
788,orange peels,orange,NULL
789,orange slice,orange,NULL
790,orange slices,orange,NULL
791,orange twist,orange,NULL
792,orange wedges,orange,NULL
793,orange and lemon twists,orange and lemon twists,NULL
794,orange bitters,orange bitters,NULL
795,fee brothers west indian orange bitters,orange bitters,NULL
796,regan's orange bitters no. 6,orange bitters,NULL
797,regan’s orange bitters,orange bitters,NULL
798,regan’s orange bitters no. 6,orange bitters,NULL
799,regans orange bitters,orange bitters,NULL
800,regans’ orange bitters no. 6,orange bitters,NULL
801,the bitter truth orange bitters (germany),orange bitters,NULL
802,orange blossom bubbles**,orange blossom bubbles,NULL
803,orange blossom water,orange blossom water,NULL
804,orange curaçao,orange curaçao,NULL
805,orange flower water,orange flower water,NULL
806,orange-ginger marmalade,orange-ginger marmalade,NULL
807,"orange juice, freshly squeezed",orange juice,NULL
808,juice of one orange,orange juice,NULL
809,orange juice,orange juice,NULL
810,triple sec (such as combier),orange liqueur,liqueur
811,cointreau,orange liqueur,liqueur
812,combier orange liqueur,orange liqueur,liqueur
813,orange liqueur,orange liqueur,liqueur
814,orange liqueur (such as combier),orange liqueur,liqueur
815,premium triple sec (kol uses muyu chinotto),orange liqueur,liqueur
816,triple sec,orange liqueur,liqueur
817,orange marmalade,orange marmalade,NULL
818,10 orange twists,orange twists,NULL
819,orchid,orchid,NULL
820,"oreo cookies, crushed",oreo cookies,NULL
821,giffard orgeat,orgeat,NULL
822,orgeat,orgeat,NULL
823,latitude 29 formula orgeat,orgeat,NULL
824,orgeat-chantilly cream**,orgeat-chantilly cream,NULL
825,the dead rabbit orinoco bitters,orinoco bitters,NULL
826,dead rabbit orinoco bitters,orinoco bitters,NULL
827,oysters,oysters,NULL
828,pale ale,pale ale,beer
829,palm sugar syrup,palm sugar syrup,NULL
830,palo santo cordial,palo santo cordial,NULL
831,palo santo tincture***,palo santo tincture,NULL
832,pamplemousse liqueur,pamplemousse liqueur,liqueur
833,"pandan leaf, sliced",pandan leaf,NULL
834,garnish: tied pandan leaf,pandan leaf,NULL
835,pandan leaf,pandan leaf,NULL
836,pandan syrup*,pandan syrup,NULL
837,parsley sprig,parsley sprig,NULL
838,passion fruit,passion fruit,NULL
839,passion fruit liqueur (such as giffard),passion fruit liqueur,liqueur
840,passion fruit puree,passion fruit puree,NULL
841,peach,peach,NULL
842,peach bitters,peach bitters,NULL
843,peach-infused bourbon*,peach-infused bourbon,bourbon
844,creme de peche (or high-quality peach liqueur),peach liqueur,liqueur
845,peach mead,peach mead,NULL
846,peach schnapps,peach schnapps,schnapps
847,peach slices,peach slices,NULL
848,peach slices (or other stone fruit),peach slices,NULL
849,pear fan,pear,NULL
850,pear,pear,NULL
851,st. george spiced pear liqueur,pear brandy,brandy
852,st. george pear brandy,pear brandy,brandy
853,pear eau de vie (hawksmoor uses clear creek),pear eau de vie,eau de vie
854,pear liqueur,pear liqueur,liqueur
855,pear puree,pear puree,NULL
856,compass box the peat monster scotch,peaty scotch,scotch
857,pebble ice,pebble ice,NULL
858,cracked pepper,pepper,NULL
859,"garnish: black pepper, ground",pepper,NULL
860,cracked black pepper,pepper,NULL
861,fresh cracked black pepper,pepper,NULL
862,peppercorns,peppercorns,NULL
863,pepper slices,pepper slices,NULL
864,pernod absinthe,pernod,liqueur
865,pernod,pernod,liqueur
866,peychaud's bitters,peychaud's bitters,NULL
867,peychaud’s bitters,peychaud’s bitters,NULL
868,pho broth*,pho broth,NULL
869,pickle brine,pickle brine,NULL
870,pickled peach juice*,pickled peach juice,NULL
871,pickled peach slice,pickled peach slice,NULL
872,pickled pear brine*,pickled pear brine,NULL
873,pickled pear slice,pickled pear slice,NULL
874,pickled vegetable,pickled vegetable,NULL
875,"victory prima pils pilsner, to top",pilsner,beer
876,pimm’s blackberry and elderflower liqueur,pimm’s blackberry and elderflower liqueur,liqueur
877,pimm’s no. 1 liqueur,pimm's no. 1 liqueur,liqueur
