ingredient_id,ingredient,ingredient_map,alcohol_type
878,pimm's no. 1 liqueur,pimm's no. 1 liqueur,liqueur
879,pineapple slice,pineapple,NULL
880,pineapple wedge,pineapple,NULL
881,garnish: pineapple fronds,pineapple,NULL
882,garnish: pineapple wedge,pineapple,NULL
883,"large fresh pineapple chunk,",pineapple,NULL
884,pineapple,pineapple,NULL
885,pineapple chunk,pineapple,NULL
886,pineapple chunks,pineapple,NULL
887,pineapple frond,pineapple,NULL
888,pineapple shrub,pineapple,NULL
889,pineapple-infused mezcal*,pineapple-infused mezcal,mezcal
890,pineapple juice,pineapple juice,NULL
891,grilled pineapple juice*,pineapple juice,NULL
892,"pineapple juice (if using fresh juice, save the rind for tepache)",pineapple juice,NULL
893,pineapple leaf,pineapple leaf,NULL
894,plantation stiggins’ fancy pineapple rum,pineapple rum,rum
895,"pink peppercorn, ground",pink peppercorns,NULL
896,pinot noir juice,pinot noir juice,NULL
897,pisco,pisco,brandy
898,pistachio syrup,pistachio syrup,NULL
899,pistachio syrup*,pistachio syrup,NULL
900,pomegranate arils (seeds),pomegranate,NULL
901,pomegranate juice,pomegranate juice,NULL
902,pama pomegranate liqueur,pomegranate liqueur,liqueur
903,pomegranate molasses,pomegranate molasses,NULL
904,port,port wine,port wine
905,port wine,port wine,port wine
906,graham's six grapes port,port wine,port wine
907,powdered sugar,powdered sugar,NULL
908,prosecco or other sparkling wine,prosecco,champagne/sparkling wine
909,prosecco,prosecco,champagne/sparkling wine
910,"prosecco, chilled",prosecco,champagne/sparkling wine
911,pumpkin ale,pumpkin ale,NULL
912,pumpkin-butter-infused fat-washed bourbon,pumpkin-butter-infused fat-washed bourbon,bourbon
913,libby's pumpkin purée,pumpkin puree,NULL
914,pumpkin puree,pumpkin puree,NULL
915,pumpkin soda,pumpkin soda,NULL
916,pumpkin syrup,pumpkin syrup,NULL
917,punt e mes,punt e mes,vermouth
918,queso fresco,queso fresco,NULL
919,raspberries,raspberries,NULL
920,raspberry syrup*,raspberry syrup,NULL
921,raspberry syrup,raspberry syrup,NULL
922,red bull,red bull,NULL
923,red chile pepper,red chile pepper,NULL
924,red pepper flakes,red pepper flakes,NULL
925,red wine,red wine,red wine
926,beaujolais nouveau wine (you may substitute another red wine),red wine,red wine
927,red wine vinegar*,red wine vinegar,NULL
928,rhubarb shrub,rhubarb shrub,NULL
929,rhum agricole,rhum agricole,rum
930,roasted pumpkin,roasted pumpkin,NULL
931,roman mix,roman mix,NULL
932,"root beer, chilled",root beer,NULL
933,lillet rosé,rosé,champagne/sparkling wine
934,rosé wine,rosé,champagne/sparkling wine
935,rosé,rosé,champagne/sparkling wine
936,garnish: garden herbs such as rosemary and spearmint,rosemary,NULL
937,rosemary,rosemary,NULL
938,rosemary sprig,rosemary,NULL
939,16 rosemary sprigs,rosemary,NULL
940,rosemary or thyme sprig,rosemary,NULL
941,rose salt,rose salt,NULL
942,brut rosé sparkling wine,rosé sparkling wine,champagne/sparkling wine
943,rosé champagne,rosé sparkling wine,champagne/sparkling wine
944,rosé cava syrup*,rosé syrup,NULL
945,martini & rossi rosso vermouth (italy),rosso vermouth,vermouth
946,mini rubber ducky,rubber ducky,NULL
947,ruby port,ruby port,port wine
948,gold rum,rum,rum
949,151-proof rum,rum,rum
950,aged rum,rum,rum
951,appleton estate 12 year rum,rum,rum
952,appleton estate rum,rum,rum
953,appleton reserve rum,rum,rum
954,bacardí maestro de ron,rum,rum
955,bacardi reserva ocho rum,rum,rum
956,barbancourt 8 rum,rum,rum
957,blackstrap rum,rum,rum
958,cabbage rum*,rum,rum
959,caña brava 7-year-old grand reserve añeja rum,rum,rum
960,dark jamaican rum,rum,rum
961,demerara rum,rum,rum
962,don papa rum,rum,rum
963,don q cristal rum,rum,rum
964,don q gold rum,rum,rum
965,dr. bird jamaican rum,rum,rum
966,dr. birds jamaican rum,rum,rum
967,el dorado 15-year-old special reserve rum,rum,rum
968,el dorado special reserve 15-year-old rum,rum,rum
969,flor de caña 7-year-old grand reserve rum,rum,rum
970,foursquare 2004 single-blended rum,rum,rum
971,gosling’s black seal rum,rum,rum
972,j. wray & nephew overproof rum,rum,rum
973,light rum,rum,rum
974,overproof demerara rum (such as plantation oftd),rum,rum
975,overproof jamaican rum,rum,rum
976,overproof rum (preferably smith & cross),rum,rum
977,plantation dark rum,rum,rum
978,plantation five-year-old rum,rum,rum
979,rhum clément v.s.o.p. martinique rhum agricole vieux,rum,rum
980,rum,rum,rum
981,smith & cross jamaican rum,rum,rum
982,smith and cross jamaican rum,rum,rum
983,spiced rum,rum,rum
984,tanduay gold asian rum,rum,rum
985,white or aged rum,rum,rum
986,worthy park overproof rum,rum,rum
987,wray & nephew overproof rum (with optional blue food coloring),rum,rum
988,zacapa 23 rum,rum,rum
989,american rye whiskey,rye whiskey,whiskey
990,canadian club rye whiskey,rye whiskey,whiskey
991,george dickel rye whiskey,rye whiskey,whiskey
992,mister katz’s rock & rye,rye whiskey,whiskey
993,kings county empire rye whiskey,rye whiskey,whiskey
994,lock stock & barrel rye whiskey,rye whiskey,whiskey
995,old overholt rye whiskey,rye whiskey,whiskey
996,old overholt straight rye whiskey,rye whiskey,whiskey
997,rittenhouse rye,rye whiskey,whiskey
998,rittenhouse rye whiskey,rye whiskey,whiskey
999,rye,rye whiskey,whiskey
1000,rye whiskey,rye whiskey,whiskey
1001,rye whiskey (preferably rittenhouse),rye whiskey,whiskey
1002,sancho pepper-infused wild turkey 0 rye whiskey*,rye whiskey,whiskey
1003,wild turkey rye whiskey,rye whiskey,whiskey
1004,fresh sage leaf,sage leaf,NULL
1005,sage leaf,sage leaf,NULL
1006,sage leaves,sage leaf,NULL
1007,sake,sake,sake
1008,salers gentian aperitif,salers gentian aperitif,NULL
1009,saline solution (5:1 water to kosher salt),saline,NULL
1010,0% saline solution (1:5 ratio of salt to water),saline,NULL
1011,"mineral saline (1 part kosher salt to 9 parts mineral water, such as crazy water #4 from texas)",saline,NULL
1012,saline,saline,NULL
1013,saline solution,saline,NULL
1014,salt solution (recipe below),saline,NULL
1015,spicy-sweet salt rim (recipe below),salt,NULL
1016,kosher salt,salt,NULL
1017,salt,salt,NULL
1018,salt rim,salt,NULL
1019,sea salt,salt,NULL
1020,salted pandan syrup*,salted pandan syrup,NULL
1021,"sambuca, chilled",sambuca,liqueur
1022,sambuca,sambuca,liqueur
1023,sambuca syrup*,sambuca syrup,NULL
1024,scotch,scotch,scotch
1025,bowmore 12-year-old islay scotch,scotch,scotch
1026,ardbeg uigeadail single-malt scotch,scotch,scotch
1027,benriach curiositas peated 10-year-old scotch,scotch,scotch
1028,blended scotch whisky,scotch,scotch
1029,blended scotch whisky (cutty sark prohibition edition is preferred),scotch,scotch
1030,chivas regal 12 year old,scotch,scotch
1031,compass box great king street artist’s blend scotch,scotch,scotch
1032,dewar’s white label scotch,scotch,scotch
1033,glenlivet 2-year scotch,scotch,scotch
1034,great king st. glasgow blend scotch,scotch,scotch
1035,highland park 18-year-old scotch whisky,scotch,scotch
1036,islay scotch,scotch,scotch
1037,isle of jura superstition single-malt scotch,scotch,scotch
1038,johnnie walker black label blended scotch,scotch,scotch
1039,johnnie walker double black scotch whisky,scotch,scotch
1040,monkey shoulder scotch,scotch,scotch
1041,laphroaig 10 year single malt scotch,scotch,scotch
1042,scotch (choose one that isn't too peated),scotch,scotch
1043,scotch whisky,scotch,scotch
1044,springbank 10-year-old scotch,scotch,scotch
1045,the famous grouse scotch,scotch,scotch
1046,the famous grouse smoky black scotch,scotch,scotch
1047,the famous grouse the black grouse blended scotch,scotch,scotch
1048,laphroaig 10-year-old single malt scotch,scotch,scotch
1049,laphroaig single-malt scotch,scotch,scotch
1050,seedlip garden,seedlip garden,NULL
1051,sparkling water,seltzer,NULL
1052,seltzer,seltzer,NULL
1053,seltzer water,seltzer,NULL
1054,serrano-chile-infused shochu*,serrano-chile-infused shochu,NULL
1055,serrano-infused triple sec*,serrano-infused triple sec,NULL
1056,serrano peppers,serrano peppers,NULL
1057,lustau fino sherry,sherry,sherry
1058,manzanilla sherry,sherry,sherry
1059,oloroso sherry,sherry,sherry
1060,pedro ximénez sherry,sherry,sherry
1061,pedro ximenez sherry (preferably lustau),sherry,sherry
1062,sherry,sherry,sherry
1063,barbadillo pedro ximénez sherry,sherry,sherry
1064,dry sack 15-year-old oloroso sherry,sherry,sherry
1065,lustau fino jarana sherry,sherry,sherry
1066,shichimi togarashi (for rim),shichimi togarashi,NULL
1067,mizu shochu,shochu,shochu
1068,plus 5 teaspoons shochu (goto prefers iichiko saiten),shochu,shochu
1069,rice shochu,shochu,shochu
1070,iichiko saiten shochu,shochu,shochu
1071,hwayo 41° soju,shochu,shochu
1072,shredded toasted coconut,shredded toasted coconut,NULL
1073,demerara simple syrup,simple syrup,NULL
1074,rich simple syrup,simple syrup,NULL
1075,sugar cane syrup,simple syrup,NULL
1076,sugar syrup,simple syrup,NULL
1077,syrup,simple syrup,NULL
1078,syrup*,simple syrup,NULL
1079,rich,simple syrup,NULL
1080,simple syrup,simple syrup,NULL
1081,demerara syrup,simple syrup,NULL
1082,smoked cherry bitters,smoked cherry bitters,NULL
1083,hella bitters smoked chile cocktail bitters,smoked chile cocktail bitters,NULL
1084,smoked citrus juice,smoked citrus juice,NULL
1085,smoked fernet-branca*,smoked fernet-branca,NULL
1086,smoked paprika,smoked paprika,NULL
1087,smoked salt rim,smoked salt rim,NULL
1088,smoked maldon sea salt,smoked sea salt,NULL
1089,"soda water, chilled, to top",soda water,NULL
1090,"soda water, to top",soda water,NULL
1091,soda water,soda water,NULL
1092,"soda water (750 ml), to top",soda water,NULL
1093,"soda water, chilled",soda water,NULL
1094,sotol por siempre,sotol por siempre,sotol
1095,sour apple schnapps,sour apple schnapps,schnapps
1096,sour mix,sour mix,NULL
1097,southern comfort,southern comfort,liqueur
1098,sparkling cider,sparkling cider,NULL
1099,"dry sparkling wine (750 ml), to top",sparkling wine,NULL
1100,sparkling wine,sparkling wine,NULL
1101,speared lime peel and cherry,speared lime peel and cherry,NULL
1102,spiced almond demerara syrup**,spiced almond demerara syrup,NULL
1103,spiced-butter-brushed baked mini pumpkins,spiced-butter-brushed baked mini pumpkins,NULL
1104,spiced cranberry syrup*,spiced cranberry syrup,NULL
1105,spiced honey syrup*,spiced honey syrup,NULL
1106,spiced syrup,spiced syrup,NULL
1107,spice mixture,spice mixture,NULL
1108,spirit,spirit,NULL
1109,sprig,sprig,NULL
1110,sprig cbd-infused zero-sugar sparkling citrus soda,sprig cbd-infused zero-sugar sparkling citrus soda,NULL
1111,square one botanical,square one botanical vodka,vodka
1112,star anise and black tea-infused simple syrup*,star anise and black tea-infused simple syrup,NULL
1113,star anise pod,star anise pods,NULL
1114,star anise pods,star anise pods,NULL
1115,star anise powder,star anise powder,NULL
1116,st. elizabeth allspice dram,st. elizabeth allspice dram,NULL
1117,st-germain elderflower liqueur,st-germain,liqueur
1118,st-germain,st-germain,liqueur
1119,st-germain liqueur,st-germain liqueur,liqueur
1120,stone’s original green ginger wine,stone’s original green ginger wine,NULL
1121,"dupont monk’s stout or other stout-style beer, chilled",stout beer,beer
1122,stout beer,stout beer,beer
1123,"small strawberries, hulled",strawberry,NULL
1124,strawberries,strawberry,NULL
1125,strawberry,strawberry,NULL
1126,garnish: strawberry (fresh or dehydrated),strawberry,NULL
1127,garnish: strawberry slice,strawberry,NULL
1128,fresh strawberries,strawberry,NULL
1129,strawberry demerara syrup*,strawberry demerara syrup,NULL
1130,strawberry-infused rhum barbancourt,strawberry-infused rhum barbancourt,rum
1131,strawberry puree,strawberry puree,NULL
1132,strawberry syrup,strawberry syrup,NULL
1133,strawberry-vanilla syrup*,strawberry-vanilla syrup,NULL
1134,strega,strega,NULL
1135,sugar,sugar,NULL
1136,granulated sugar,sugar,NULL
1137,raw sugar,sugar,NULL
1138,sugar cube,sugar,NULL
1139,sugar rim,sugar,NULL
1140,white granulated sugar,sugar,NULL
1141,sumac powder,sumac powder,NULL
1142,super juice*,super juice,NULL
1143,suze,suze,NULL
1144,sweet and sour mix,sweet and sour mix,NULL
1145,sweet-and-sour mix*,sweet-and-sour mix,NULL
1146,sweetened coconut milk syrup**,sweetened coconut milk syrup,NULL
1147,sweet pepper,sweet pepper,NULL
1148,sweet/sour/salty mixture*,sweet/sour/salty mixture,NULL
1149,sweet tea oleo saccharum,sweet tea oleo saccharum,NULL
1150,sweet vermouth (such as cinzano 1757 rosso),sweet vermouth,vermouth
1151,sweet vermouth (preferably dolin rouge),sweet vermouth,vermouth
1152,sweet italian vermouth,sweet vermouth,vermouth
1153,odd society bittersweet vermouth,sweet vermouth,vermouth
1154,chai-infused sweet vermouth,sweet vermouth,vermouth
1155,dolin rouge sweet vermouth,sweet vermouth,vermouth
1156,italian sweet vermouth,sweet vermouth,vermouth
1157,sweet vermouth (preferably carpano antica),sweet vermouth,vermouth
1158,sweet vermouth,sweet vermouth,vermouth
1159,sweet vermouth (such as dolin or martini & rossi),sweet vermouth,vermouth
1160,"garnish: tajín, for rim",tajín,NULL
1161,tajín seasoning (for rim),tajín,NULL
1162,tamarind chutney,tamarind chutney,NULL
1163,tangerine juice,tangerine juice,NULL
1164,tarragon simple syrup*,tarragon simple syrup,NULL
1165,tartaric acid solution,tartaric acid solution,NULL
1166,taylor fladgate 10-year-old tawny port,tawny port,port wine
1167,taylor fladgate lbv port,tawny port,port wine
1168,feist tawny port,tawny port,port wine
1169,tawny port (such as ferreira),tawny port,port wine
1170,"0-year-old tawny port, to float",tawny port,port wine
1171,tempus fugit gran classico bitter,tempus fugit gran classico bitter,NULL
1172,tempus fugit gran classico bitter aperitif,tempus fugit gran classico bitter aperitif,liqueur
1173,tempus fugit gran classico bitter liqueur,tempus fugit gran classico bitter liqueur,liqueur
1174,tempus fugit white creme de menthe,tempus fugit white creme de menthe,liqueur
1175,patrón reposado tequila,tequila,tequila
1176,reposado tequila,tequila,tequila
1177,ritual tequila alternative,tequila,tequila
1178,siete leguas añejo tequila,tequila,tequila
1179,tequila,tequila,tequila
1180,tequila (preferably el tesoro),tequila,tequila
1181,tequila ocho plata,tequila,tequila
1182,el jimador reposado tequila,tequila,tequila
1183,don julio reposado tequila,tequila,tequila
1184,añejo tequila,tequila,tequila
1185,thai chile pepper,thai chile pepper,NULL
1186,the bitter truth jerry thomas’ own decanter bitters,the bitter truth jerry thomas’ own decanter bitters,NULL
1187,the block autumn gin,the block autumn gin,gin
1188,thin mint cookie,thin mint cookie,NULL
1189,thyme,thyme sprig,NULL
1190,thyme sprig,thyme sprig,NULL
1191,tiki whipped cream*,tiki whipped cream,NULL
1192,tomatillos,tomatillos,NULL
1193,tomato juice,tomato juice,NULL
1194,tom & jerry batter,tom & jerry batter,NULL
1195,tom yum syrup*,tom yum syrup,NULL
1196,q tonic water,tonic,NULL
1197,tonic water,tonic,NULL
1198,turmeric simple syrup*,turmeric syrup,NULL
1199,ube halaya (purple yam jam),ube halaya,NULL
1200,unsweetened coconut water,unsweetened coconut water,NULL
1201,unsweetened iced tea,unsweetened iced tea,NULL
1202,vanilla extract,vanilla extract,NULL
1203,vanilla ice cream,vanilla ice cream,NULL
1204,vanilla-infused brandy*,vanilla-infused brandy,brandy
1205,vanilla salt,vanilla salt,NULL
1206,vanilla soda,vanilla soda,NULL
1207,vanilla syrup,vanilla syrup,NULL
1208,vanilla flavored vodka,vanilla vodka,vodka
1209,vanilla vodka,vanilla vodka,vodka
1210,john d. taylor's velvet falernum,velvet falernum,liqueur
1211,velvet falernum,velvet falernum,liqueur
1212,ancho reyes verde chile liqueur,verde chile liqueur,liqueur
1213,verjus blanc,verjus,NULL
1214,verjus (such as wolffer),verjus,NULL
1215,verjus,verjus,NULL
1216,cocchi torino sweet vermouth,vermouth,vermouth
1217,noilly prat ambré vermouth,vermouth,vermouth
1218,vermouth,vermouth,vermouth
1219,vermouth,vermouth,vermouth
1220,blanc vermouth,vermouth,vermouth
1221,carpano antica formula vermouth,vermouth,vermouth
1222,carpano antica sweet vermouth,vermouth,vermouth
1223,citron vodka,vodka,vodka
1224,absolut elyx vodka,vodka,vodka
1225,absolut vodka,vodka,vodka
1226,broken shed vodka,vodka,vodka
1227,republic restoratives civic vodka,vodka,vodka
1228,reyka vodka,vodka,vodka
1229,tito’s handmade vodka,vodka,vodka
1230,vodka,vodka,vodka
1231,vodka (such as grey goose),vodka,vodka
1232,walnut orgeat,walnut orgeat,NULL
1233,wassail,wassail,NULL
1234,wassail syrup*,wassail syrup,NULL
1235,"water, chilled",water,NULL
1236,water,water,NULL
1237,filtered water,water,NULL
1238,seedless watermelon,watermelon,NULL
1239,watermelon cubes,watermelon,NULL
1240,watermelon juice,watermelon juice,NULL
1241,"belgian-style wheat beer (such as allagash white), chilled",wheat beer,beer
1242,wheat beer,wheat beer,beer
1243,whipped cream,whipped cream,NULL
1244,garnish: whipped coconut cream,whipped cream,NULL
1245,garnish: whipped cream,whipped cream,NULL
1246,jameson irish whiskey,whiskey,whiskey
1247,knappogue castle 12 year old single malt irish whiskey,whiskey,whiskey
1248,lot 40 canadian whisky,whiskey,whiskey
1249,mellow corn whiskey,whiskey,whiskey
1250,michael collins blended irish whiskey,whiskey,whiskey
1251,michter's single barrel rye whiskey,whiskey,whiskey
1252,single pot still irish whiskey,whiskey,whiskey
1253,"tennessee whiskey, barrel proof",whiskey,whiskey
1254,tullamore d.e.w. 12-year-old irish whiskey,whiskey,whiskey
1255,west cork distillers 0-year-old single-malt irish whiskey,whiskey,whiskey
1256,whiskey,whiskey,whiskey
1257,whisky,whiskey,whiskey
1258,redbreast 1-year-old irish whiskey,whiskey,whiskey
1259,alberta premium canadian whisky,whiskey,whiskey
1260,blended whiskey (such as firestone & robertson tx),whiskey,whiskey
1261,bushmills irish whiskey,whiskey,whiskey
1262,canadian whisky,whiskey,whiskey
1263,connemara cask-strength peated irish whiskey,whiskey,whiskey
1264,corsair triple smoke american malt whiskey,whiskey,whiskey
1265,crown royal whisky (canada),whiskey,whiskey
1266,george dickel superior no. 12 tennessee whiskey,whiskey,whiskey
1267,high west silver oat whiskey,whiskey,whiskey
1268,irish whiskey,whiskey,whiskey
1269,jameson black barrel irish whiskey,whiskey,whiskey
1270,jameson black barrel whiskey,whiskey,whiskey
1271,jameson caskmates whiskey,whiskey,whiskey
1272,powers irish whiskey,whiskey,whiskey
1273,powers 12 year old special reserve irish whiskey,whiskey,whiskey
1274,fee brothers whiskey barrel bitters,whiskey barrel bitters,NULL
1275,white,white,NULL
1276,white creme de cacao,white creme de cacao,liqueur
1277,white creme de menthe,white creme de menthe,liqueur
1278,white miso cane syrup*,white miso cane syrup,NULL
1279,quinta do infantado white port,white port,port wine
1280,taylor fladgate chip dry white port,white port,port wine
1281,white rum,white rum,rum
1282,cotton & reed white rum,white rum,rum
1283,white verjus,white verjus,NULL
1284,"crisp white wine, such as sauvignon blanc (optional)",white wine,white wine
1285,white wine,white wine,white wine
1286,whole allspice berries,whole allspice berries,NULL
1287,whole cloves,whole cloves,NULL
1288,whole milk,whole milk,NULL
1289,worcestershire sauce,worcestershire sauce,NULL
1290,xo cognac,xo cognac,NULL
1291,yaguara plata cachaça,yaguara plata cachaça,cachaça
1292,yellow chartreuse,yellow chartreuse,liqueur
1293,yuzu twist,yuzu,NULL
1294,yuzu bitters,yuzu bitters,NULL
1295,yuzu kosho,yuzu kosho,NULL
1296,yuzushu (yuzu sake),yuzushu,sake